Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Tonga,TON,Population growth (annual %),SP.POP.GROW,0.834802330638377
Trinidad and Tobago,TTO,Population growth (annual %),SP.POP.GROW,0.304526024019675
Tunisia,TUN,Population growth (annual %),SP.POP.GROW,1.12385654480134
Turkey,TUR,Population growth (annual %),SP.POP.GROW,1.53829770411437
Turkmenistan,TKM,Population growth (annual %),SP.POP.GROW,1.67299562627925
Turks and Caicos Islands,TCA,Population growth (annual %),SP.POP.GROW,1.55235824245664
Tuvalu,TUV,Population growth (annual %),SP.POP.GROW,0.852443584475346
Uganda,UGA,Population growth (annual %),SP.POP.GROW,3.26046178844302
Ukraine,UKR,Population growth (annual %),SP.POP.GROW,-0.386283095113929
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,1.39835914347815
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.649947160993822
United States,USA,Population growth (annual %),SP.POP.GROW,0.640458800224899
Upper middle income,UMC,Population growth (annual %),SP.POP.GROW,0.753232776752256
Uruguay,URY,Population growth (annual %),SP.POP.GROW,0.369351256234469
Uzbekistan,UZB,Population growth (annual %),SP.POP.GROW,1.67918372339528
Vanuatu,VUT,Population growth (annual %),SP.POP.GROW,2.13747925479187
"Venezuela, RB",VEN,Population growth (annual %),SP.POP.GROW,1.28693075208341
Vietnam,VNM,Population growth (annual %),SP.POP.GROW,1.02228932406799
Virgin Islands (U.S.),VIR,Population growth (annual %),SP.POP.GROW,-0.225349060342092
West Bank and Gaza,PSE,Population growth (annual %),SP.POP.GROW,2.88469662660913
World,WLD,Population growth (annual %),SP.POP.GROW,1.15409266875722
"Yemen, Rep.",YEM,Population growth (annual %),SP.POP.GROW,2.3864708419352
Zambia,ZMB,Population growth (annual %),SP.POP.GROW,2.98512436170626
Zimbabwe,ZWE,Population growth (annual %),SP.POP.GROW,2.32286399154265
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 04/25/2019,,,,
